Horodateur,1.	Répondez-vous en tant que ,Nom de votre institution,2.	Avez-vous une politique écrite pour votre service sur la question des permaliens ou des identifiants ? ,3.	Avez-vous un budget spécifique identifié pour les permaliens et les identifiants pérennes ? ,"4.	Avez-vous des ressources non financières (personnes, projets, axes stratégiques, « priorités » de service) identifiées pour les permaliens et les identifiants pérennes ? ","5.	Aujourd’hui, les nouvelles ressources numériques que votre institution met à disposition des publics internes ou externes (numérisations, ouvrages, inventaires) reçoivent-elles systématiquement des ARKs ?","6.	La différence entre « permalien » et « identifiant pérenne » est-elle bien maîtrisée dans votre institution ? Par exemple sait-on l’expliquer à un lecteur en salle de lecture, ou à un usager des ressources numériques à distance ?",7.	Savez-vous ce qu’est un « résolveur » d’identifiants pérennes ?,8.	Quels sont les niveaux de description ou d’accès aux ressources numériques qui disposent d’ARKs dans votre institution ,"9.	A combien estimez-vous le nombre d’ARKs générés par an pour identifier vos ressources ? (500, 5000, 50 000…) ","10.	Combien d’ARKs supplémentaires seront-ils selon vous nécessaires pour identifier vos ressources d’ici les cinq prochaines années ? (100 000, 1M, 10 M…)",11.	Résolution des permaliens ARK : disposez vous :,Adresse de votre résolveur local,"12.	Informez-vous vos publics des principes et du fonctionnement de vos ARKs (ex : fiche, formations, ateliers, avertissements particulier) ? ",13.	Vos publics sont-ils satisfaits de votre système de permaliens ou identifiants pérennes ? ,"14.	Procédez-vous vous-même à la génération et à la maintenance de vos ARKs ou recourez-vous aux services d’un prestataire extérieur (EZID, NOID, ArchiSpace …) ? ",Nom du prestataire éventuel,"15.	Les « noms ARK » (série de caractères suivant le NAAN) générés répondent-ils aux recommandations de pérennisation ? [Sont-ils suivis de qualificatifs tiers (composantes, variantes…) ?]","15.	Les « noms ARK » (série de caractères suivant le NAAN) générés répondent-ils aux recommandations de pérennisation ? [Parmi ces qualificatifs, y-a-t-il une indication de pagination ?]",16.	A quel niveau dans la chaine de réalisation d’un projet décidez-vous de la création d’un ARK ou d'un ensemble d'ARKs pour des ressources  numériques ?,17.	Disposez-vous d’une page ‘.policy’ explicative de la méthodologie et de votre engagement vis-à-vis de la maintenance de vos ARKs ?,18.	Vos ARKs disposent-ils de métadonnées  ?,19.	Utilisez-vous des inflexions (ex : ‘ ?info’) pour caractériser une ressource ?,"20.	 Existe-t-il une redirection automatique de vos URLs incluant des ARKs (par exemple en cas de fusion de deux notices, de renumérisation d'une ressource existante, de passage du protocole 'http' à 'https', de changement de nom/site web de l’institution...) ?","21.	Si vous avez déployé un résolveur local, assurez-vous la maintenance de vos tables de correspondance URLs-ARKs ou avez-vous recours au service d’un prestataire extérieur ? Si oui lequel ?",Nom du prestataire,22.	Quels seraient selon-vous les points à améliorer pour rendre plus performante l'utilisation de vos ARKs dans votre institution ? 
2021/06/04 10:02:47 AM UTC+2,Fédération et ressources sur l'antiquité,Anonyme,Oui,Non,Oui,en partie,Non,"Oui, je connais ces annuaires permettant de rediriger l’utilisateur vers la ressource appropriée","Objet disposant d’une cote/notice autonome (registre, carton feuille ou image)",5000,100000,d’un résolveur local ? Quel est-il ?,https://arkeo.mom.fr,Oui,"Oui, mais des évolutions sont demandées",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,,Oui,Non,Au passage en production,Non,Oui,Non,Non,Nous assurons la maintenance de nos tables de correspondance,,"L'idéal serait de recourir à un service externe au niveau national pour centraliser et maintenir ce système. Nos ressources humaines sont trop faibles pour assumer cette charge. Je n'ai pas confiance dans les systèmes payants comme EZID ..., j'ai eu la mauvaise expérience avec Handle, du moment où nous avons arrêté de payer, on nous a bloqué tous nos identifiants déjà généré, donc, nous avons abandonné Handle. C'est pour cette raison que nous maintenons nous même notre serveur ARK. Mais nous sommes prêt à adopter un système centralisé (comme N2t) si c'est accessible gratuitement, mais je doute fort (j'ai déjà fait la démarche pour, mais aucune réponse).  "
2021/06/07 10:29:36 AM UTC+2,Un service d’Archives municipales,Anonyme,Non,Non,Oui,Non,Cela dépend vraiment des personnes,"Non, pas vraiment ou pas encore","Objet disposant d’une cote/notice autonome (registre, carton feuille ou image)",Entre 500 et 5000,100000,d’un résolveur global (ex : http://n2t.net) ?,,Non,"Oui, complètement",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,,Je ne sais pas,Je ne sais pas,Au moment de la création d'une notice archivistique,Non,Je ne sais pas,Non,Je ne sais pas,Je ne sais pas,,Meilleure gestion par notre SIA
2021/06/07 10:43:57 AM UTC+2,Prestataire de l'éducation nationale (fourniture de ressources numériques),Anonyme,Oui,Non,Non,Uniquement pour celle raccordé au GAR (education nationale) ,Cela dépend vraiment des personnes,"Non, pas vraiment ou pas encore","Folio, feuille ou illustration dans un ensemble documentaire (la notice étant au niveau de l’ensemble)",30000,100000,d’un résolveur local ? Quel est-il ?,Aucun,Non,"Oui, mais des évolutions sont demandées",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,,Non,Non,Au moment de la création de la ressource,Je ne sais pas,Oui,Je ne sais pas,Oui,Nous assurons la maintenance de nos tables de correspondance,,Clareté de l'usage des ARK 
2021/06/07 2:18:58 PM UTC+2,Un service d’Archives départementales,Anonyme,Oui,Non,Oui,Oui,Oui,"Non, pas vraiment ou pas encore","Objet disposant d’une cote/notice autonome (registre, carton feuille ou image)",2 millions,100000,d’un résolveur local ? Quel est-il ?,,Oui,"Oui, complètement",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,Empreinte Digitale,Oui,Oui,La génération se fait de manière automatique,Oui,Non,Non,Non,Je ne sais pas,,"Il serait utile que les ark soit générés par le logiciel de gestion et non par l'outil de diffusion. Ainsi, les ark pourraient être stockés dans les xml directement. Cette solution garantirait une forte pérennité."
2021/06/07 2:21:45 PM UTC+2,Musée,Anonyme,Non,Non,Non,Uniquement les médias,Cela dépend vraiment des personnes,"Non, pas vraiment ou pas encore","Collections, fonds ou ensembles",100000,500000,d’un résolveur global (ex : http://n2t.net) ?,,Non,"Oui, mais des évolutions sont demandées",Nous recourons aux services d'un prestataire,EInden,Oui,Non,Lors de l'analyse des fonds à identifier,Non,Oui,Je ne sais pas,Oui,Nous assurons la maintenance de nos tables de correspondance,,SO
2021/06/07 8:16:17 PM UTC+2,éditeur,Anonyme,Non,Non,Non,Non,Non,"Non, pas vraiment ou pas encore",site web : texteimage.com,aucune idée,aucune idée,d’un résolveur global (ex : http://n2t.net) ?,,Non,"Oui, complètement",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,,Je ne sais pas,Je ne sais pas,aucune idée,Non,Non,Non,Non,Je ne sais pas,,aucune idée
2021/06/08 9:21:09 AM UTC+2,Un service d’Archives départementales,Anonyme,Non,Non,Non,Non,Non,"Non, pas vraiment ou pas encore","Objet disposant d’une cote/notice autonome (registre, carton feuille ou image)",Aucune idée,Aucune idée,d’un résolveur global (ex : http://n2t.net) ?,,Non,"Oui, mais des évolutions sont demandées",Nous recourons aux services d'un prestataire,,Oui,Oui,Mise en ligne,Non,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,,Mieux connaître ce sujet
2021/06/08 9:50:27 AM UTC+2,Un service d’Archives municipales,Anonyme,Non,Non,Non,Oui,Cela dépend vraiment des personnes,"Non, pas vraiment ou pas encore",Instruments de recherche ou équivalent,500,2500,d’un résolveur global (ex : http://n2t.net) ?,Je découvre l'existence des résolveurs de permaliens en remplissant ce questionnaire...,Non,"Oui, complètement",Nous recourons aux services d'un prestataire,Empreinte Digitale,Je ne sais pas,Je ne sais pas,Import des images dans l'application web.,Non,Je ne sais pas,Non,Je ne sais pas,Je ne sais pas,,"Excellente initiative que la réalisation de ce questionnaire ! Lors de la conduite de notre projet de portail internet, nous avons demandé à notre prestataire l'utilisation des ARK afin de fournir des permaliens à nos internautes.
En revanche, nous ne maitrisons absolument pas l'environnement spécifique aux ARK et nous serions en difficulté si nous avions à gérer nous-mêmes des opérations sur les ARK. Un complément de formation est donc indispensable."
2021/06/08 11:09:30 AM UTC+2,Un service d’Archives départementales,Anonyme,Oui,Non,Non,Oui,Cela dépend vraiment des personnes,"Oui, je connais ces annuaires permettant de rediriger l’utilisateur vers la ressource appropriée","Folio, feuille ou illustration dans un ensemble documentaire (la notice étant au niveau de l’ensemble)",aucune idée,aucune idée,d’un résolveur global (ex : http://n2t.net) ?,,Non,"Oui, complètement",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,,Je ne sais pas,Je ne sais pas,Pas de réelle politique,Non,Non,Non,Non,Je ne sais pas,,Ne sait pas
2021/06/08 2:31:30 PM UTC+2,Un service d’Archives départementales,Anonyme,Non,Non,Non,Oui,Cela dépend vraiment des personnes,"Non, pas vraiment ou pas encore","Objet disposant d’une cote/notice autonome (registre, carton feuille ou image)",400.000 environ,de l'ordre du million,d’un résolveur local ? Quel est-il ?,je ne sais pas,Non,"Oui, complètement",Nous recourons aux services d'un prestataire,Les ARK sont générés par notre SIA Ligeo,Oui,Non,Les ARK sont générés au moment de la création d'une notice dans le SIA,Non,Oui,Non,Oui,Je ne sais pas,,Sans aucun doute commencer par la rédaction d'une politique de maintient des ARK pour éviter des incohérences intellectuelles et une perte dans le temps. 
2021/06/10 10:07:01 AM UTC+2,Responsable d'applications archivistique,Anonyme,Non,Non,Non,Oui,Non,"Non, pas vraiment ou pas encore",Instruments de recherche ou équivalent,1000,5000,d’un résolveur global (ex : http://n2t.net) ?,,Non,"Oui, complètement",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,,Je ne sais pas,Je ne sais pas,Aucune idée,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,,Aucune idée
2021/06/10 11:16:28 AM UTC+2,Association subventionnée,Anonyme,Non,Non,Non,En partie,Non,"Oui, je connais ces annuaires permettant de rediriger l’utilisateur vers la ressource appropriée","Objet disposant d’une cote/notice autonome (registre, carton feuille ou image)",Quelques milliers,100000,d’un résolveur local ? Quel est-il ?,"Il a été mal intégré, on réfléchit à une solution plus pérenne.",Non,"Non, un changement radical est demandé",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,,Je ne sais pas,Je ne sais pas,Au début,Non,Je ne sais pas,Je ne sais pas,Non,Nous assurons la maintenance de nos tables de correspondance,,Réanalyser du début et prendre un résolveur externe...
2021/06/10 11:36:33 AM UTC+2,Une médiathèque (ou un réseau) municipale ou d’agglomération,Anonyme,Non,Non,Oui,Oui,Cela dépend vraiment des personnes,"Oui, je connais ces annuaires permettant de rediriger l’utilisateur vers la ressource appropriée","Collections, fonds ou ensembles",entre 18 000 et 20 000 par an,entre 100 000  et 150 000 (en fonction des programmes de numérisation),d’un résolveur global (ex : http://n2t.net) ?,,Non,"Oui, complètement",Nous recourons aux services d'un prestataire,"prestataire Biblibre (SIGB Koha) pour les ARK des documents de nos collections, prestataire Bibliomondo (site web) pour les documents numérisés",Non,Non,il s'agit d'une politique globale de l'établissement pour tout projet de numérisation,Non,Je ne sais pas,Non,Je ne sais pas,Je ne sais pas,nous n'avons pas de résolveur local,un besoin de formation sur ce sujet
2021/06/10 4:15:18 PM UTC+2,Bibliothèque nationale,Anonyme,Oui,Non,Oui,Oui,Cela dépend vraiment des personnes,"Oui, je connais ces annuaires permettant de rediriger l’utilisateur vers la ressource appropriée","Notices bibliographiques et d'autorité, et leurs différents formats, IR et composants, documents numériques et leurs composantes et représentations numériques, ressources pédagogiques.",25000000,Bonne question. Probablement entre 5 et 10 millions.,d’un résolveur global (ex : http://n2t.net) ?,http://ark.bnf.fr/,Oui,"Oui, mais des évolutions sont demandées",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,Certaines implémentations ARK de la BnF vont être gérées en mode SaaS. Le nom des prestataires n'est pas communicable pour le moment.,Oui,Oui,"La plupart du temps, la décision est prise entre les porteurs de projet et la coordination ARK de l'établissement lors de l'instruction du projet.",Oui,Oui,Oui,Oui,Nous assurons la maintenance de nos tables de correspondance,,"Toutes les réponses ci-dessus pourraient être remplacées par ""ça dépend"". La douzaine d'implémentations BnF d'ARK présente des caractéristiques très différentes. Un de nos objectifs est actuellement de centraliser l'attribution et la résolution pour les plus ""petites"" implémentations. Notre outil d'attribution récemment développé, et que nous envisageons de proposer en open source, devrait être déployé petit à petit pour le maximum de services BnF. "
2021/06/15 4:19:52 PM UTC+2,Un service d’Archives municipales,Anonyme,Non,Non,Non,oui sur le portail web des Archives,Cela dépend vraiment des personnes,"Non, pas vraiment ou pas encore","Objet disposant d’une cote/notice autonome (registre, carton feuille ou image)",je ne sais pas,je ne sais pas,d’un résolveur local ? Quel est-il ?,"je ne sais pas, la génération des liens arks est géré au niveau de notre prestataire du système de gestion d'archives et du portail web",Non,"Oui, complètement",Nous recourons aux services d'un prestataire,Naoned ,Non,Je ne sais pas,Toutes les ressources de la base archives publiées sur le portail web recoivent un lien ark automatiquement,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Naoned,à voir avec Naoned notre prestataire
2021/06/21 9:48:42 AM UTC+2,Un service d’Archives départementales,Anonyme,Non,Non,Non,Les liens ARKs sont utilisés pour les images sur notre site internet exclusivement,Cela dépend vraiment des personnes,"Non, pas vraiment ou pas encore","Objet disposant d’une cote/notice autonome (registre, carton feuille ou image)",5000,1M,d’un résolveur local ? Quel est-il ?,,Non,"Oui, complètement",Nous recourons aux services d'un prestataire,1=2,Je ne sais pas,Je ne sais pas,Mise en ligne des fonds,Non,Non,Non,Je ne sais pas,Nous recourons aux services d'un prestataire extérieur,1=2,  
2021/06/21 10:09:25 AM UTC+2,Un service d’Archives départementales,Anonyme,Oui,Non,Non,Non,Cela dépend vraiment des personnes,"Non, pas vraiment ou pas encore","Les ressources numériques (inventaires, documents numériques liés) disposent d'identifiants pérennes, mais ARK n'est pas encore implémenté sur notre moteur de recherche Bach.","Plus de 100 000, correspondant aux nouvelles numérisations réalisées en interne",environ 1 M. (numérisation de microfilms à venir...environ 400 000 images en plus des numérisations internes habituelles),d’un résolveur local ? Quel est-il ?,"Pas de réponse pour le moment, tout ceci doit être venu dans les mois qui viennent avec Anaphore.",Non,"Oui, complètement",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,"Pour le moment, nous gérons nos identifiants pérennes nous-mêmes, mais dans l'évolution ARK, nous aviserons en lien avec Anaphore",Je ne sais pas,Je ne sais pas,Le plus en amont possible.,Je ne sais pas,Je ne sais pas,Oui,Je ne sais pas,Je ne sais pas,Société Anaphore,Il faut au préalable que nous mettions en place ARK...
2021/06/21 10:09:47 AM UTC+2,Un service d’Archives départementales,Anonyme,Non,Non,Oui,Oui,Cela dépend vraiment des personnes,"Oui, je connais ces annuaires permettant de rediriger l’utilisateur vers la ressource appropriée","Objet disposant d’une cote/notice autonome (registre, carton feuille ou image)",environ 250 000,1 250 000 environ en fonction des chantiers de numérisation et de mise en ligne d'instruments de recherche,d’un résolveur global (ex : http://n2t.net) ?,,Non,"Oui, complètement",Nous recourons aux services d'un prestataire,Empreinte Digitale,Oui,Oui,Au niveau le plus bas possible en fonction des fonds,Non,Je ne sais pas,Non,Oui,Nous recourons aux services d'un prestataire extérieur,Empreinte Digitale,Mieux gérer les tables de correspondance
2021/06/21 10:12:40 AM UTC+2,Un service d’Archives municipales,Anonyme,Non,Non,Non,Je ne sais pas,Cela dépend vraiment des personnes,"Non, pas vraiment ou pas encore","Objet disposant d’une cote/notice autonome (registre, carton feuille ou image)",?,?,d’un résolveur local ? Quel est-il ?,,Non,"Non, un changement radical est demandé",Nous recourons aux services d'un prestataire,,Je ne sais pas,Je ne sais pas,ne sais pas ,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,,ne sais pas
2021/06/21 11:04:10 AM UTC+2,Laboratoire de recherche CNRS SHS/INEE,Anonyme,Non,Non,Oui,Non,Cela dépend vraiment des personnes,"Oui, je connais ces annuaires permettant de rediriger l’utilisateur vers la ressource appropriée","actuellement, nous sommes déclarés, mais le générateur d'identifiant ARK n'est pas encore en place au sein de notre labo. L'objectif sera variable d'un projet à l'autre. Succinctement, l'identifiant ARK sera généré pour identifier un projet/collection et éventuellement pour identifier une donnée spécifique (image, objet 3D, sites archéologique) et permettra d'accéder à sa notice",aucun pour l'instant. On espère commencer dès cette fin d'année.,"inférieur à 100 000. On ne génère pas autant de données ou de collection/datasets susceptibles d'être attachées à un ARK. Les identifiants ARK sont utilisés en interne, en parallèle nous utilisons Nakala le service d'HUMANUM, qui génère un DOI pour chaque donnée ou dataset rendu public ",d’un résolveur global (ex : http://n2t.net) ?,,Non,"Oui, complètement",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,,Non,Non,lors de la phase de définition des besoins techniques après lancement du projet,Non,Oui,Non,Non,Nous recourons aux services d'un prestataire extérieur,,Toutes ses réponses sont donc pour l'instant théoriques puisque service pas encore opérationnel au sein du laboratoire
2021/06/21 11:49:09 AM UTC+2,Un service d’Archives départementales,Anonyme,Non,Non,Non,Non,Non,"Non, pas vraiment ou pas encore",l,200 000 à ce jour. En fonction de la politique de numérisation annuelle. Pas d'import en 2020.,Ne sais pas,d’un résolveur global (ex : http://n2t.net) ?,,Non,"Oui, mais des évolutions sont demandées",Nous recourons aux services d'un prestataire,Empreinte Digitale,Non,Non,Proposition du prestataire,Non,Je ne sais pas,Non,Non,Je ne sais pas,,-
